playerName,position,team,adp,projectedPoints,rank,VOR,auction,pffProjections
Le'Veon Bell,RB,PIT,2,343.5,1,219,67,343.5
Todd Gurley,RB,LAR,1,329.5,2,205,62,329.5
Ezekiel Elliott,RB,DAL,3,309.6,3,185,56,309.6
David Johnson,RB,ARZ,4,308,4,183,56,308
Alvin Kamara,RB,NO,7,302.8,5,178,54,302.8
Antonio Brown,WR,PIT,5,323.8,6,171,52,323.8
Saquon Barkley,RB,NYG,16,280.8,7,156,48,280.8
Dalvin Cook,RB,MIN,13,278.3,8,153,47,278.3
Melvin Gordon III,RB,LAC,9,277,9,152,46,277
Kareem Hunt,RB,KC,11,273.6,10,149,45,273.6
DeAndre Hopkins,WR,HST,8,295.3,11,143,44,295.3
Leonard Fournette,RB,JAX,12,261.8,12,137,42,261.8
Julio Jones,WR,ATL,18,289.2,13,137,42,289.2
Odell Beckham Jr.,WR,NYG,10,287.4,14,135,41,287.4
Michael Thomas,WR,NO,17,278.9,15,126,39,278.9
Devonta Freeman,RB,ATL,22,250.5,16,126,38,250.5
Rob Gronkowski,TE,NE,32,241.8,17,123,38,241.8
Mike Evans,WR,TB,24,264.7,18,112,34,264.7
Keenan Allen,WR,LAC,19,264.5,19,112,34,264.5
A.J. Green,WR,CIN,26,264,20,112,34,264
Davante Adams,WR,GB,21,262.1,21,110,33,262.1
Christian McCaffrey,RB,CAR,29,233.9,22,109,33,233.9
LeSean McCoy,RB,BUF,25,233.3,23,108,33,233.3
Jerick McKinnon,RB,SF,43,225.9,24,101,31,225.9
Travis Kelce,TE,KC,42,215.8,25,97,30,215.8
Zach Ertz,TE,PHI,49,214.3,26,96,29,214.3
Joe Mixon,RB,CIN,33,220.2,27,95,29,220.2
T.Y. Hilton,WR,IND,39,242.8,28,90,28,242.8
Adam Thielen,WR,MIN,44,241.4,29,89,27,241.4
Doug Baldwin,WR,SEA,58,236.9,30,84,26,236.9
Rashaad Penny,RB,SEA,73,203.8,31,79,24,203.8
Tyreek Hill,WR,KC,35,225.9,32,73,22,225.9
Allen Robinson II,WR,CHI,47,225,33,73,22,225
Jordan Howard,RB,CHI,31,197.3,34,72,22,197.3
Jay Ajayi,RB,PHI,103,197,35,72,22,197
Kenyan Drake,RB,MIA,51,196.2,36,71,22,196.2
Larry Fitzgerald,WR,ARZ,57,222.9,37,70,22,222.9
Alshon Jeffery,WR,PHI,75,222.5,38,70,21,222.5
Delanie Walker,TE,TEN,88,188.4,39,70,21,188.4
