playerName,position,team,adp,projectedPoints,rank,VOR,auction,pffProjections
Ezekiel Elliott,RB,DAL,3,267.1,1,174,67,267.1
Todd Gurley,RB,LAR,1,265.6,2,173,67,265.6
Le'Veon Bell,RB,PIT,2,262.8,3,170,66,262.8
David Johnson,RB,ARZ,4,237.7,4,145,56,237.7
Alvin Kamara,RB,NO,7,224.6,5,132,51,224.6
Dalvin Cook,RB,MIN,13,224.4,6,132,51,224.4
Leonard Fournette,RB,JAX,12,223.5,7,131,50,223.5
Kareem Hunt,RB,KC,11,219.7,8,127,49,219.7
Saquon Barkley,RB,NYG,16,218.4,9,126,49,218.4
Melvin Gordon III,RB,LAC,9,218.2,10,125,48,218.2
Antonio Brown,WR,PIT,5,212.9,11,118,45,212.9
Devonta Freeman,RB,ATL,22,200.4,12,108,42,200.4
DeAndre Hopkins,WR,HST,8,196.4,13,101,39,196.4
Rob Gronkowski,TE,NE,32,173.8,14,101,39,173.8
Julio Jones,WR,ATL,18,194.1,15,99,38,194.1
Odell Beckham Jr.,WR,NYG,10,189.7,16,94,36,189.7
Joe Mixon,RB,CIN,33,182,17,89,34,182
LeSean McCoy,RB,BUF,25,176.5,18,84,32,176.5
Michael Thomas,WR,NO,17,178.9,19,84,32,178.9
Mike Evans,WR,TB,24,177.3,20,82,32,177.3
Jordan Howard,RB,CHI,31,173.9,21,81,31,173.9
Davante Adams,WR,GB,21,173.8,22,78,30,173.8
A.J. Green,WR,CIN,26,172.8,23,77,30,172.8
Jerick McKinnon,RB,SF,43,170.3,24,77,30,170.3
Derrick Henry,RB,TEN,38,169,25,76,29,169
Rashaad Penny,RB,SEA,73,168.9,26,76,29,168.9
T.Y. Hilton,WR,IND,39,170,27,75,29,170
Jay Ajayi,RB,PHI,103,165.5,28,73,28,165.5
Derrius Guice,RB,WAS,56,165.1,29,72,28,165.1
Alex Collins,RB,BLT,77,160.7,30,68,26,160.7
Keenan Allen,WR,LAC,19,161.4,31,66,26,161.4
Travis Kelce,TE,KC,42,138.9,32,66,26,138.9
Sony Michel,RB,NE,70,158.7,33,66,26,158.7
Royce Freeman,RB,DEN,100,158.1,34,65,25,158.1
Marshawn Lynch,RB,OAK,146,155.6,35,63,24,155.6
Christian McCaffrey,RB,CAR,29,155.3,36,62,24,155.3
Adam Thielen,WR,MIN,44,157.5,37,62,24,157.5
Zach Ertz,TE,PHI,49,132.9,38,60,23,132.9
Doug Baldwin,WR,SEA,58,154.9,39,60,23,154.9
Kenyan Drake,RB,MIA,51,152.3,40,59,23,152.3
Alshon Jeffery,WR,PHI,75,153.4,41,58,23,153.4
Allen Robinson II,WR,CHI,47,151.6,42,56,22,151.6
Ronald Jones,RB,TB,87,146.1,43,53,21,146.1
Tyreek Hill,WR,KC,35,147.4,44,52,20,147.4
Josh Gordon,WR,CLV,45,147.4,45,52,20,147.4
Lamar Miller,RB,HST,64,144.7,46,52,20,144.7
Mark Ingram II,RB,NO,67,143.3,47,50,20,143.3
Aaron Rodgers,QB,GB,6,320.3,48,48,19,320.3
Stefon Diggs,WR,MIN,34,142,49,47,18,142
Amari Cooper,WR,OAK,54,139.7,50,44,17,139.7
Tom Brady,QB,NE,23,315.6,51,43,17,315.6
JuJu Smith-Schuster,WR,PIT,50,138.6,52,43,17,138.6
Delanie Walker,TE,TEN,88,116.1,53,43,17,116.1
Marvin Jones Jr.,WR,DET,76,136.9,54,42,16,136.9
Cam Newton,QB,CAR,30,312.6,55,40,16,312.6
Tevin Coleman,RB,ATL,96,133.1,56,40,16,133.1
Brandin Cooks,WR,LAR,52,135.5,57,40,16,135.5
Isaiah Crowell,RB,NYJ,117,131.3,58,38,15,131.3
Russell Wilson,QB,SEA,15,310,59,38,15,310
Demaryius Thomas,WR,DEN,68,132.3,60,37,14,132.3
Greg Olsen,TE,CAR,82,108,61,35,14,108
Golden Tate,WR,DET,71,129.9,62,35,13,129.9
Dion Lewis,RB,TEN,92,126,63,33,13,126
Marlon Mack,RB,IND,78,125.7,64,33,13,125.7
Emmanuel Sanders,WR,DEN,97,124.3,65,29,11,124.3
Larry Fitzgerald,WR,ARZ,57,124.2,66,29,11,124.2
Evan Engram,TE,NYG,60,100.9,67,28,11,100.9
Corey Davis,WR,TEN,80,123.2,68,28,11,123.2
Kyle Rudolph,TE,MIN,84,100.5,69,27,11,100.5
Pierre Garcon,WR,SF,95,121.7,70,26,10,121.7
Chris Thompson,RB,WAS,156,118.9,71,26,10,118.9
Carson Wentz,QB,PHI,20,297.7,72,25,10,297.7
Jamaal Williams,RB,GB,137,117.7,73,25,10,117.7
Chris Hogan,WR,NE,105,119.4,74,24,9,119.4
Jimmy Graham,TE,GB,63,96.8,75,24,9,96.8
Randall Cobb,WR,GB,106,117.1,76,22,9,117.1
Sammy Watkins,WR,KC,74,116.2,77,21,8,116.2
DeVante Parker,WR,MIA,119,115.7,78,20,8,115.7
Devin Funchess,WR,CAR,90,115.6,79,20,8,115.6
Robby Anderson,WR,NYJ,110,115.6,80,20,8,115.6
C.J. Anderson,RB,CAR,144,113,81,20,8,113
DeSean Jackson,WR,TB,202,114.6,82,19,8,114.6
Kenny Stills,WR,MIA,199,113.8,83,18,7,113.8
Nick Chubb,RB,CLV,89,110.3,84,17,7,110.3
Rishard Matthews,WR,TEN,185,112.6,85,17,7,112.6
Tyler Eifert,TE,CIN,176,90,86,17,7,90
Michael Crabtree,WR,BLT,86,112.1,87,17,7,112.1
Duke Johnson Jr.,RB,CLV,124,109.6,88,17,7,109.6
Aaron Jones,RB,GB,109,108.9,89,16,6,108.9
Kirk Cousins,QB,MIN,36,288.2,90,16,6,288.2
Deshaun Watson,QB,HST,14,287.1,91,15,6,287.1
Robert Woods,WR,LAR,83,109.7,92,14,6,109.7
Cooper Kupp,WR,LAR,104,109.6,93,14,6,109.6
Trey Burton,TE,CHI,111,86.9,94,14,6,86.9
Ben Roethlisberger,QB,PIT,46,285.8,95,13,5,285.8
Jordan Reed,TE,WAS,93,85.9,96,13,5,85.9
Jarvis Landry,WR,CLV,61,108.1,97,13,5,108.1
Sterling Shepard,WR,NYG,143,108.1,98,13,5,108.1
Marquise Goodwin,WR,SF,101,107.4,99,12,5,107.4
Kerryon Johnson,RB,DET,114,104.7,100,12,5,104.7
Matthew Stafford,QB,DET,40,283.4,101,11,4,283.4
Jack Doyle,TE,IND,138,83.7,102,11,4,83.7
Kelvin Benjamin,WR,BUF,125,106,103,11,4,106
Andrew Luck,QB,IND,48,282.7,104,10,4,282.7
Will Fuller V,WR,HST,91,103.9,105,9,3,103.9
Jamison Crowder,WR,WAS,132,103.5,106,8,3,103.5
Cameron Brate,TE,TB,212,80.8,107,8,3,80.8
Marqise Lee,WR,JAX,151,102.2,108,7,3,102.2
Philip Rivers,QB,LAC,55,278.8,109,6,3,278.8
Charles Clay,TE,BUF,200,79.1,110,6,3,79.1
Allen Hurns,WR,DAL,145,101.2,111,6,2,101.2
Devontae Booker,RB,DEN,164,98.4,112,6,2,98.4
